Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,CR,P,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized
BIS,2190,0W1,15,3,,,1,,2,1,,,,,,,,"Edwards, Christopher W","Robinson, Katie L","Slattery, Ryan P",,,,cwe011000,christopher edwards
BIS,3320,091,2,1,4,1,3,1,1,,,,,,1,,,"Wright, David A",,,,,,jxh100220,jennifer hudson
BIS,3320,0U1,11,6,7,3,3,,,3,,,,,2,,,"Wright, David A",,,,,,wright,david wright
BLAW,2301,5U1,,7,5,14,11,11,8,4,6,,1,,9,,,"Betanzos, Christina L","Sandhu, Gurvinder",,,,,clb120030,christina betanzos
BMEN,3150,001,,,3,1,2,4,2,3,1,,,,,,,"Winter, Patrick M","Kashef, Sina",,,,,tma051000,tariq ali
BMEN,3320,0U1,2,2,1,3,2,1,1,,,,,,1,,,"Ali, Tariq M","Kian Pour, Bahareh",,,,,tma051000,tariq ali
BMEN,3350,0U1,2,2,3,5,4,3,1,1,,,1,,1,,,"Ali, Tariq M","Kian Pour, Bahareh",,,,,tma051000,tariq ali
BMEN,3402,0U1,1,2,,,1,1,2,1,2,,1,1,1,,,"Ardestani Khoubrouy, Soudeh","Kashef, Sina",,,,,sxa074200,soudeh khoubrouy
BMEN,4388,0U1,,3,10,8,9,3,4,,,,,,,,,"Polk, Todd W",,,,,,twp017000,todd polk
BMEN,4V95,5U1,14,10,3,1,1,,,,,,,,,,,"Porter, Benjamin A","Kashef, Sina",,,,,bap061000,benjamin porter
BPS,4305,0U1,28,2,2,2,2,3,,1,1,,,,2,,,"Carraher, Shawn M",,,,,,smc130730,shawn carraher
BPS,4305,5E1,12,1,1,,1,2,,,,,1,,1,,,"Carraher, Shawn M",,,,,,smc130730,shawn carraher
BPS,4305,5U1,,12,10,8,8,2,,,,,,2,,,,"Kim, Dong Shin",,,,,,smc130730,shawn carraher
BPS,6310,0W1,,20,4,2,,,,,,,,,1,,,"Kaplan, Marilyn R",,,,,,chasteen,larry chasteen
BPS,6310,GW1,,11,3,1,,,,,,,,,,,,"Choi, Emily",,,,,,exc113230,emily choi
BPS,6310,MBP,,20,6,3,4,,1,,,,,,,,,"Chasteen, Larry H","Balaji, Pavithra",,,,,chasteen,larry chasteen
BPS,7303,0U1,,21,,,,,,,,,,,,,,"Watson, John M",,,,,,jmw077000,john watson
BUAN,6312,0W1,,6,10,14,4,3,1,,,,,,,,,"Blueshtein, Moran","Smith, Jake A",,,,,mxb135230,moran blueshtein
BUAN,6320,0U1,,22,,,,,,,,,,,,,,"Narayan, Ravishankar L","Kulkarni, Aniket S",,,,,rln130030,ravishankar narayan
BUAN,6320,SW1,,11,,,,,,,,,,,,,,"Narayan, Ravishankar L","Kulkarni, Aniket S",,,,,rln130030,ravishankar narayan
BUAN,6337,0W1,,11,19,6,,,,,,,,,,,,"Subramanian, Upender","Alavi, Seyyedeh Soogand",,,,,uxs092000,upender subramanian
BUAN,6340,5U1,,30,8,3,4,2,1,,,,,,,,,"Parker, Jason A","Zhang, Hong",,,,,jap090020,jason parker
BUAN,6341,0W1,,12,4,3,8,1,,,,,,,,,,"Sohaee, Nassim",,,,,,nxs045000,nassim sohaee
BUAN,6346,5U1,,20,5,,2,,,,,,,,,,,"Perez, Jerry","Kulkarni, Aniket S",,,,,jxp180019,jerry perez
BUAN,6346,5U2,,51,,,,,,,,,,,,,,"Elkhodari, Gasan",,,,,,gxe051000,gasan elkhodari
BUAN,6356,5U1,,20,1,,1,,,,,,,,,,,"Johnston, Walter L",,,,,,wlj031000,walter johnston
BUAN,6356,5U2,,1,4,,2,3,,,,,,,,,,"Chatterjee, Sourav",,,,,,jap090020,jason parker
BUAN,6357,0U1,,3,5,4,2,1,,,,,,,,,,"Chatterjee, Sourav","Sun, Kai",,,,,sxc180075,sourav chatterjee
BUAN,6398,5U1,,6,2,2,1,5,3,2,,,,,,,,"Ramezani, Rasoul","Zhang, Minmin",,,,,axa134231,athena alimirzaei
CE,3201,0U1,1,3,2,3,,,,,,,1,,,,,"Nikoubin, Tooraj","Steele, Alec M","Jain, Apurva",,,,kamran,kamran kiasaleh
CE,3202,0U1,,2,1,1,5,,,3,1,,,,,,,"Kiasaleh, Kamran","Apalak, Merve",,,,,kamran,kamran kiasaleh
CE,3301,0U1,3,10,,1,2,1,,2,1,,,1,1,,,"Tacca, Marco","Abousaba, Mohammad F","Wang, Jianda",,,,kamran,kamran kiasaleh
CE,3310,0U1,1,2,1,2,4,4,2,8,2,,,,1,,,"Lee, Jeong-Bong",,,,,,jblee,jeong bong lee
CE,3311,5U1,,5,1,4,1,,,,,,,,,,,"Sechen, Carl","Hu, Bo","Palit, Prithviraj",,,,cms057000,carl sechen
CE,3320,0U1,1,3,2,1,2,,2,,,,2,,,,,"Nikoubin, Tooraj","Sears, Mark R",,,,,txn190011,tooraj nikoubin
CE,4389,0U1,3,5,,5,,,,,,,,,,,,"Bhatia, Dinesh","Gandluru, Veerabharathchandrareddy",,,,,dinesh,dinesh bhatia
CGS,3361,0U1,,4,1,3,1,,,,,1,1,,,,,"Cavazos, Jacqueline G","Lung, Tzu-Chen",,,,,mam089100,mitchell meltzer
CHEM,1111,1U1,5,4,4,2,3,3,,2,,1,,,2,,,"Dissanayake, Dushanthi S","Perez Medina, Luciano","Sheybani, Simin",,,,sgavva,sandhya gavva
CHEM,1111,1U2,12,4,1,,2,3,3,,,,1,1,2,,,"Qin, Yanping","Rifat, Samia","Ahrari, Samira","Firouzi, Hamid Reza","Yan, Qing",,aks057000,amandeep sra
CHEM,1112,1U1,6,6,2,1,2,1,2,,,,,2,3,,,"Qin, Yanping","Ahrari, Samira","Firouzi, Hamid Reza",,,,sgavva,sandhya gavva
CHEM,1112,1U2,6,7,2,2,2,2,1,,1,,,,2,,,"Huang, Yu","Sra, Amandeep K","Beck, Erling","Faisal, Tahmid",,,sgavva,sandhya gavva
CHEM,1311,0U1,10,33,19,22,11,8,6,6,6,,3,,2,,,"Sra, Amandeep K","Pope, Mitchell A","Alberto, Kevin A","Nguyen, Trang",,,aks057000,amandeep sra
CHEM,1312,0U1,8,29,17,13,11,19,6,8,9,,3,,6,,,"Huang, Yu","Tripathi, Kiran","Miller, Justin T","Shafie, Arefeh",,,dieckgr,gregg dieckmann
CHEM,2123,1U1,20,4,3,,,,,,1,,1,,,,,"Dissanayake, Dushanthi S","Gamage, Prabhath Lakmal",,,,,nxa124430,nimali abeykoon
CHEM,2123,1U2,13,7,3,3,,,,,1,,,,,,,"Cortes, Sergio J","Haque, Syed Fahad Bin",,,,,nxa124430,nimali abeykoon
CHEM,2123,1U3,6,8,2,2,,1,,,1,,,,,,,"Tran, Daniel N","Abbas, Muhammad",,,,,dnt019000,daniel tran
CHEM,2125,1U1,8,10,1,2,1,2,,1,1,1,,,,,,"Abeykoon, Nimali C","Shah, Tejas V",,,,,dxd122030,dushanthi dissanayake
CHEM,2125,1U2,10,13,3,1,,,,,,,,,1,,,"Abeykoon, Nimali C","Hernandez, Jayoh A",,,,,scortes,sergio cortes
CHEM,2125,1U3,10,8,3,1,2,1,,,,1,,,,,,"Abeykoon, Nimali C","Lumata, Jenica",,,,,axk113330,
CHEM,2323,0U1,13,16,7,12,12,14,9,5,4,8,,,5,,,"Tran, Daniel N","Boardman, Samuel",,,,,sibertj,john sibert
CHEM,2325,0U1,10,13,15,13,15,4,8,9,9,,10,,2,,,"Sibert, John W",,,,,,scortes,sergio cortes
CHEM,3361,0U1,,1,4,3,4,1,2,1,1,,,1,,,,"Candas, Mehmet","Ashrafi, Adnin","Kunder, Nikesh Prakash","Chen, Hao",,,candas,mehmet candas
CLDP,3310,5U1,,4,2,2,2,2,1,,1,,,,,,,"Smith, Olivia","Hafiz, Mariam",,,,,dbonner,deborah bonner
CLDP,3342,0U1,11,9,2,1,2,,,,,1,,,,,,"Barfoot, John W","Camacho, Natalia S",,,,,jwb043000,john barfoot
COMD,5340,0U1,,26,,,,,,,,,,,,,,"Aldridge, Michelle A",,,,,,aldridge,michelle aldridge
COMD,6377,0U1,,11,,,1,,,,,,,,,,,"Kenedi, Helen","Sale, Felicity F",,,,,kenedi,
COMD,6V09,0U1,,41,,,,,,,,,,,,,2,"Aldridge, Michelle A",,,,,,aldridge,michelle aldridge
COMD,7303,0U1,,104,,,4,,,,,,,,,,,"Dean, Lucinda L","Kenedi, Helen","Poudel, Sonali",,,,lxl018300,
COMD,7323,0U1,,16,,,1,,,,,,,,,,2,"Sweeney, Melissa",,,,,,msweeney,
COMD,7345,0U1,,40,,,3,,,,,,,,,,14,"Cook, Lori G","Berglund, Amy",,,,,lgc011100,lori cook
COMD,7V68,0U1,,37,,,,,,,,,,,,,1,"Sale, Felicity F",,,,,,ffs013000,
COMD,7V89,0U1,,30,1,,,1,,,,,,,,,2,"Walsh, Diane G","Moustafa, Rana",,,,,dxg022000,diane walsh
COMM,1311,001,1,1,5,4,2,1,1,,,,1,,1,,,"Arnold, Bob",,,,,,blb140430,barbara baker
COMM,1311,0W1,5,4,7,1,2,1,,,,,,,1,,,"Templeton, Allison A",,,,,,contemp,karen baynham
COMM,1311,0W2,14,4,,2,1,1,,,,,,,,,,"Tanner, Lari J",,,,,,aam141730,allison templeton
COMM,1311,0W4,5,2,1,1,,,,,,,,,2,,,"Moss, Daniel J",,,,,,ljt130130,lari tanner
COMM,3352,0H1,9,6,,,1,,1,1,,,,,1,,,"Johnson, Janet L",,,,,,cxl085200,carie king
COMM,4370,051,,16,4,,,,,,,,,,,,,"Hernandez-Katz, Melissa M",,,,,,mhkatz,melissa hernandez katz
CRIM,1301,0U1,,3,6,1,,3,1,,,,,,,,,"Hernandez, Richard",,,,,,jxr122330,
CRIM,1307,0U1,1,4,3,1,3,1,1,1,2,,,2,1,,,"Han, Sungil",,,,,,dxd171830,dragana derlic
CRIM,3301,0W1,1,10,7,6,4,3,,2,3,1,1,,1,,,"Yim, Haneul","Sanil Mannumood, Merin",,,,,mxs158030,haneul yim
