Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,NF,CR,NC,P,I,W,instructor_id,instructor_name_normalized
"Ritchey, David B",,,,,,OBHR,3310,002,3,13,12,5,9,2,,1,1,1,1,,1,,,,,,0,exm150330,edward meda
"Weekley, Jeff A","Kemp, Ayenda",,,,,OBHR,3310,003,6,2,8,5,9,10,4,4,,,1,,,,,,,,1,exm150330,edward meda
"Jun, Sora","Liu, Yu",,,,,OBHR,3310,503,2,6,8,10,11,7,1,3,1,,,,,,,,,,0,odb160030,sora jun
"Meda, Edward","Vora, Gunjan",,,,,OBHR,3310,005,2,10,18,4,7,7,,,1,,,,,,,,,,0,jxw175430,junfeng wu
"Jun, Sora","Liu, Yu",,,,,OBHR,3310,5E1,2,4,6,7,8,9,3,,,,,1,1,,,,,,2,h1562,maria hasenhuttl
"Weekley, Jeff A","Kemp, Ayenda",,,,,OBHR,3310,501,2,1,7,7,14,10,2,4,1,,,,,,,,,,0,jnh061000,jeffrey hicks
"Meda, Edward","Vora, Gunjan",,,,,OBHR,3310,502,,5,11,10,7,8,3,,,,,,2,,,,,,2,exm150330,edward meda
"Ritchey, Kemberly A",,,,,,OBHR,4352,001,3,3,12,6,7,4,1,1,3,,,,,,,,,,0,kar014400,kemberly ritchey
"Feng, Zhichao",,,,,,OPRE,3310,502,15,17,6,5,,3,1,,,,,,,,,,,,2,jwh085000,james hogan
"Deluke, Eugene","Thankamony, Parvathy",,,,,OPRE,3310,004,6,11,,4,16,,3,7,,,2,,,,,,,,0,xxs130630,xi shan
"ye, Shengqi","Shi, Lingling",,,,,OPRE,3310,005,5,19,7,7,3,2,,3,,,1,1,,,,,,,1,axq140430,anyan qi
"Hogan, James W","Ojha, Amrit A",,,,,OPRE,3310,006,,15,,5,14,,4,12,,,,,,,,,,,0,axq140430,anyan qi
"Kuo, Ching-Chung","Deodhar, Adneya","Guda, Harish",,,,OPRE,3320,001,,8,2,3,23,,1,5,1,,2,,,,,,,,1,cxk162830,
"Alborz, Shawn",,,,,,OPRE,3330,001,5,18,11,9,11,3,2,5,1,,,,3,,,,,,1,sxa063000,shawn alborz
"Brussolo, Monica E","Castaldo, Joseph D",,,,,OPRE,3333,001,8,7,9,8,3,2,4,4,2,2,5,3,7,,,,,,1,mxn162630,mofid nakhaei
"Simsek, Ahmet S","Shan, Xi",,,,,OPRE,3360,001,1,6,9,7,16,6,9,2,1,1,,,2,,,,,,1,mxn121930,mohammad naseri
"Simsek, Ahmet S","Shan, Xi",,,,,OPRE,3360,002,2,11,14,8,11,5,2,5,4,2,,,,,,,,,0,meb049000,monica brussolo
"Alimirzaei, Athena","Israni, Tanya R",,,,,OPRE,3360,003,16,9,,14,9,,7,3,,2,3,,,,,,,,0,sxs137430,sina shokoohyar
"Alimirzaei, Athena","Israni, Tanya R",,,,,OPRE,3360,004,13,12,,18,9,,3,3,,2,2,,,,,,,,1,meb049000,monica brussolo
"Brussolo, Monica E","Zangeneh Madar, Zeinab",,,,,OPRE,3360,005,7,11,8,6,7,5,6,5,1,,2,2,3,,,,,1,1,mxn121930,mohammad naseri
"Naseri Taheri, Mohammad","Khatavkar, Shreya U",,,,,OPRE,3360,006,9,14,10,23,3,1,,1,1,,,,,,,,,,1,dxp153830,david parks
"Wiorkowski, John",,,,,,OPRE,6301,502,,33,11,9,12,2,3,3,,,,,,,,,,,2,asethi,awanti sethi
"Leach, Sonia E","Chindak, Sachin",,,,,OPRE,6301,004,,20,23,8,8,5,2,3,,,,,1,,,,,,1,flannery,carol flannery
"Flannery, Carol","Mobini Dehkordi, Zahra",,,,,OPRE,6301,0W1,,18,,3,12,,4,5,,,,,1,,,,,,1,flannery,carol flannery
"Honhon, Dorothee B","Chang, Chia-Hao",,,,,OPRE,6302,003,,16,1,10,8,4,1,,,,,,,,,,,,1,gxj091000,ganesh janakiraman
"Ozer, Ali O","Sul, Inki",,,,,OPRE,6302,502,,6,8,5,3,1,,,,,,,,,,,,,2,sel120030,sonia leach
"ye, Shengqi","Shi, Lingling",,,,,OPRE,6302,0W1,,20,9,7,6,2,,2,,,,,,,,,,,4,milind,milind dawande
