Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,CR,NC,P,W,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized
BUAN,6341,0W1,,7,6,2,5,4,,,,,,,,,,,0,"Sohaee, Nassim",,,,,,nxs045000,nassim sohaee
BUAN,6346,5U1,,29,6,2,,,,,,,,,,,,,0,"Perez, Jerry",,,,,,jxp180019,jerry perez
BUAN,6356,5U1,,2,7,9,7,2,2,,,,,,,,,,2,"Chatterjee, Sourav","Banu, Arshiya",,,,,wlj031000,walter johnston
BUAN,6359,5U1,,4,1,,4,3,4,2,,,,,1,,,,3,"Ramezani, Rasoul","Farzaneh, Mohammad Amin",,,,,rxr145930,rasoul ramezani
BUAN,6398,5U1,,27,1,2,3,,1,2,,,,,2,,,,0,"Alimirzaei, Athena",,,,,,axa134231,athena alimirzaei
BUAN,6398,SW1,,22,,2,9,,2,2,,,,,,,,,0,"Alimirzaei, Athena",,,,,,axa134231,athena alimirzaei
CE,3201,0U1,,2,3,2,1,1,,1,1,,,,2,,,,0,"Kiasaleh, Kamran","Meng, Xingyu","Steele, Alec M",,,,kamran,kamran kiasaleh
CE,3202,0U1,,3,4,,2,1,,4,,,,,4,,,,2,"Kiasaleh, Kamran","Apalak, Merve","Liu, Jinbo",,,,kamran,kamran kiasaleh
CE,3301,0U1,2,2,,1,2,,,,2,,,,3,,,,1,"Tacca, Marco","Khoshlessan, Mahshid",,,,,kamran,kamran kiasaleh
CE,3310,0U1,1,,3,,1,2,1,4,1,,,,,,,,1,"Lee, Jeong-Bong","Parvez, Mohammad Salman","Abousaba, Mohammad F",,,,jblee,jeong bong lee
CE,3311,0U1,4,2,2,1,,,1,,,,1,,2,,,,0,"Pourkamali, Siavash","Hossain Bhuiyan, Md Emran",,,,,sxp124631,siavash pourkamali
CE,3311,5U1,1,2,1,3,5,3,,,,,,,,,,,0,"Sechen, Carl","Salimath, Vibhav Kumarswami",,,,,cms057000,carl sechen
CE,4203,0U1,1,3,,2,1,1,,2,3,,,,1,,,,0,"Kehtarnavaz, Nasser","Azarang, Arian","Gogineni, Susmitha",,,,nxk019000,nasser kehtarnavaz
CE,4388,0U1,,10,1,4,1,,,,1,,,,,,,,0,"Bhatia, Dinesh","Noor Shoudha, Shamman",,,,,dinesh,dinesh bhatia
CE,4389,0U1,1,2,1,8,,,,,,,,,,,,,0,"Bhatia, Dinesh","Chandra Shekar, Ram Charan M",,,,,dinesh,dinesh bhatia
CGS,4353,0W1,6,2,2,1,,1,,,,,,,1,,,,0,"Orrick, Erika D",,,,,,edo042000,erika orrick
CHEM,1111,1U1,8,4,1,1,2,,1,1,1,,1,,4,,,,2,"Hashami, Zohreh","Polara, Himanshu S","Gamage, Madujika A",,,,sgavva,sandhya gavva
CHEM,1111,1U2,3,3,2,2,2,3,1,,,,,,2,,,,3,"Qin, Yanping","Cu Castillo, Cristina","Chen, Chia Yuan",,,,aks057000,amandeep sra
CHEM,1112,1U1,6,3,4,5,2,,3,2,2,1,,,2,,,,0,"Abeykoon, Nimali C","Kikumoto Dias, Juliana","Peng, Hao-Che",,,,sgavva,sandhya gavva
CHEM,1112,1U2,9,5,2,1,3,2,2,1,,1,,,5,,,,1,"Abeykoon, Nimali C","Igie, Nosakhare F","Gull, Humera",,,,sgavva,sandhya gavva
CHEM,1311,0U1,8,2,6,8,8,4,3,1,3,,1,,6,,,,6,"Sra, Amandeep K","Nguyen, Trang",,,,,aks057000,amandeep sra
