Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,NF,CR,NC,P,I,W,instructor_id,instructor_name_normalized
"Karunathilake, Arosha A","Tajik Asl, Masoumeh","Liyanage, Anuradha V",,,,CHEM,2125,1U3,16,2,1,,1,,,,,,,,,,,,,,,axk113330,
"Abeykoon, Nimali C","Wang, Hanghang",,,,,CHEM,2123,1U1,17,4,,,,1,,,,,,,,,,,,,,nxa124430,nimali abeykoon
"Gavva, Sandhya R","Brohlin, Olivia R","Malekpour, Soheil","Li, Siqing",,,CHEM,1111,1U1,2,5,1,1,6,1,1,2,1,2,,,,,,,,,1,sgavva,sandhya gavva
"Abeykoon, Nimali C","Zhou, Qinhan",,,,,CHEM,2123,1U2,20,2,1,,,,,,,,,,,,,,,,,nxa124430,nimali abeykoon
"Dissanayake, Dushanthi S","Graham, Robert L",,,,,CHEM,2125,1U1,6,6,8,3,1,,,,,,,,,,,,,,,dxd122030,dushanthi dissanayake
"Gavva, Sandhya R","Ball, Darby J","Abeyrathna, Nisansala S",,,,CHEM,1112,1U2,4,14,3,2,2,,,,,,,,,,,,,,,sgavva,sandhya gavva
"Cortes, Sergio J","Liyanage, Anuradha V",,,,,CHEM,2125,1U2,13,15,2,,,,,,,,,,,,,,,,,scortes,sergio cortes
"Sibert, John W",,,,,,CHEM,2323,0U1,4,12,4,2,7,5,10,3,9,,3,5,8,,,,,,,sibertj,john sibert
"Sra, Amandeep K","Abeyrathna, Wannaku R",,,,,CHEM,1311,0U1,2,7,10,6,8,10,4,5,8,4,8,4,8,,,,,,1,aks057000,amandeep sra
"Dieckmann, Gregg","Cosey, Whitney",,,,,CHEM,1312,0U1,5,5,7,7,8,5,4,14,12,8,4,2,12,,,,,1,,dieckgr,gregg dieckmann
"Cortes, Sergio J",,,,,,CHEM,2325,0U1,7,6,14,9,6,14,6,8,8,8,5,4,4,,,,,2,,scortes,sergio cortes
"Schneider, Julie M","Poudel, Sonali",,,,,CLDP,3303,0U1,1,4,1,3,1,,,,,,,,1,,,,,,,jxs114631,
"Sands, Kaitlin R","Terry, Courtney",,,,,CLDP,3310,0U1,,4,1,,3,2,1,2,,,,,,,,,,,,krs150330,
"Barfoot, John W","Peskova, Olga",,,,,CLDP,3342,0U1,3,1,8,7,2,2,,,,,,,,,,,,,,jwb043000,john barfoot
"Powers, Katharine A","Evans, Delaney L",,,,,COMD,5344,5U1,,9,,,3,,,,,,,,,,,,,,,kap130730,katharine powers
"Sweeney, Melissa",,,,,,COMD,7323,0U1,,16,,,3,,,,,,,,,,,,,,,msweeney,
"Walsh, Diane G","Glotfelty, Annette R",,,,,COMD,7V89,0U1,,21,,,1,,,,,,,,,,,,,,,dxg022000,diane walsh
"Aldridge, Michelle A",,,,,,COMD,5340,0U1,,34,,1,,,,,,,,,,,,,,,,aldridge,michelle aldridge
"Aldridge, Michelle A",,,,,,COMD,6V09,0U1,,37,,,,,,,,,,,,,,,,,,aldridge,michelle aldridge
"Sale, Felicity F",,,,,,COMD,7V68,0U1,,41,,,,,,,,,,,,,,,1,,,ffs013000,
"Cook, Lori G","Melamed, Tina",,,,,COMD,7345,0U1,,28,,,6,,,1,,,,,,,,,10,,,lgc011100,lori cook
