Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,CR,NC,P,W,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized
OPRE,4395,001,,19,,,,,,,,,,,,,,,0,"Parks, David","Jain, Rajul",,,,,dxp153830,david parks
OPRE,6301,001,,9,5,3,3,2,1,,,,,,2,,,9,1,"Toptal, Aysegul","Khan, Bilal M",,,,,sxw163830,shouqiang wang
OPRE,6301,002,,4,9,2,5,2,,,,,,,3,,,4,3,"Toptal, Aysegul","Khan, Bilal M",,,,,flannery,carol flannery
OPRE,6301,003,,6,8,3,5,1,1,1,,,,,2,,,4,2,"Toptal, Aysegul","Khan, Bilal M",,,,,meb049000,monica brussolo
OPRE,6301,004,,8,3,1,,2,,,,,,,4,,,5,1,"Toptal, Aysegul","Khan, Bilal M",,,,,flannery,carol flannery
OPRE,6301,005,,13,11,3,2,3,,1,,,,,2,,,14,0,"Leach, Sonia E","Bu, Like",,,,,meb049000,monica brussolo
OPRE,6301,006,,33,1,10,6,,,1,,,,,3,,,13,1,"Sethi, Awanti",,,,,,meb049000,monica brussolo
OPRE,6301,501,,7,9,7,5,5,,,,,,,6,,,10,1,"Leach, Sonia E","Bu, Like",,,,,sel120030,sonia leach
OPRE,6301,GW1,,13,5,6,,2,,2,,,,,1,,,3,2,"Bush, Rhonda L",,,,,,,rhonda bush
OPRE,6301,GW2,,11,7,6,2,3,,,,,,,,,,,1,"Brussolo, Monica E",,,,,,meb049000,monica brussolo
OPRE,6302,001,,8,4,8,,,,1,,,,,,,,1,2,"Wang, Guihua","Rasulov, Toghrul",,,,,gxj091000,ganesh janakiraman
OPRE,6302,002,,11,1,9,3,,,,,,,,,,,1,0,"Wang, Guihua","Rasulov, Toghrul",,,,,sel120030,sonia leach
OPRE,6302,0W1,,15,12,9,3,2,,,,,,,,,,7,2,"Dawande, Milind","Manchiraju, Chandrasekhar Seetharama",,,,,milind,milind dawande
OPRE,6302,501,,9,15,10,3,1,1,,,,,,1,,,15,0,"Rajamani, Divakar","Mobini Dehkordi, Zahra",,,,,sel120030,sonia leach
OPRE,6302,CW1,,8,10,4,,,,,,,,,,,,,0,"Hassanzadeh, Nozar",,,,,,nozarh,nozar hassanzadeh
