Subject,Catalog Number,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,Total W,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized
FERM,6V99,FS2,,6,5,,,,,1,,,,,1,0,"Wang, Yi",,,,,,,yi wang
ITSS,3312,003,1,2,1,3,4,,1,,,,1,,,0,"Sun, Geng",,,,,,gxs122530,geng sun
MIS,6356,001,,2,5,1,1,3,,,,,,,,1,"Parker, Jason A","Rawat, Manavi",,,,,jap090020,jason parker
MIS,6375,0W1,,2,,3,4,1,1,1,,,,,1,0,"Bochsler, Daniel C",,,,,,dcb091000,daniel bochsler
MIS,6383,001,,8,2,2,,,,,,,,,,1,"Narayan, Ravishankar L","Kasturi, Sai Nikhilesh",,,,,rln130030,ravishankar narayan
MIS,6384,001,,4,4,3,1,1,,,,,,,,0,"Shroff, Tejas N","Jadhav, Sukruta",,,,,tns190000,tejas shroff
MKT,4320,501,6,3,1,,,1,,1,1,,,,,0,"Carraher, Shawn M",,,,,,smc130730,shawn carraher
OPRE,6369,0W1,,7,,,3,,,2,,,,,1,0,"Subramoniam, Ramesh","Pandita, Binny",,,,,rxs179630,ramesh subramoniam
REAL,3305,501,,1,2,2,2,1,1,3,,,,,1,0,"DeCourcy, George A",,,,,,gad075000,george decourcy
REAL,3365,001,,2,,1,4,3,,2,,,,,1,0,"DeCourcy, George A",,,,,,gad075000,george decourcy
BIOL,6343,001,,8,4,1,,,,,,,,,,0,"Du, Heng","Srikanth, Uma","Tian, Jing",,,,hxd131030,heng du
CHEM,1112,103,1,6,2,,2,,,,,,1,,1,0,"Hashami, Zohreh","Pope, Mitchell A",,,,,zxh088000,zohreh hashami
MATH,3303,001,4,2,1,1,,,1,,2,2,,,,0,"Lalani, Amin","Martin, Jody",,,,,axl120130,amin lalani
MATH,4V91,001,2,3,5,,1,,,,,,,,,2,"Dragovic, Vladimir","Babbitt, Matthew W",,,,,vxd123630,vladimir dragovic
NATS,3343,002,2,8,,,,2,,,,,,,,1,"McConnell, James S",,,,,,jsm019600,james mcconnell
PHYS,4373,101,,11,,,2,,,,,,,,,0,"Slinker, Jason D","Wettasinghe, Ashan P",,,,,jds107020,jason slinker
PPOL,4396,002,8,2,1,,,,,,,,,,1,0,"Bray, Timothy M",,,,,,tmb021000,timothy bray
HUHI,7314,001,,10,1,,,,,,,,,,,0,"Roemer, Nils H",,,,,,nhr061000,nils roemer
SMED,5303,501,,10,2,,,,,,,,,,,0,"McConnell, James S",,,,,,jsm019600,james mcconnell
ARTS,3371,002,1,3,,2,1,2,1,,1,,,,2,0,"Durant, Stephanie D",,,,,,ddm043000,stephanie durant
HUAS,6310,001,,8,2,1,1,,,,,,,,,1,"McLean, Adrienne L",,,,,,amclean,adrienne mclean
MECH,5373,001,,5,4,2,2,,,,,,,,,0,"Dai, Xianming",,,,,,xxd161630,xianming dai
ARTS,2380,501,,11,1,1,,,,,,,,,1,0,"Fridge, Brian D",,,,,,bdf081000,brian fridge
ARTS,3382,001,1,9,1,1,,,,,,,1,,,1,"Tady, Lorraine T",,,,,,ltt042000,lorraine tady
CRWT,2301,002,,13,,,1,,,,,,,,,0,"Glass, Seraphina",,,,,,,seraphina glass
CRWT,3307,002,2,11,,,,,,,,,,,,1,"Martinez, Manuel L",,,,,,mlm160630,manuel martinez
HIST,3302,001,,1,5,2,1,3,,1,,,,,1,0,"Jakobsson, Pia K",,,,,,pkj010100,pia jakobsson
