Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,NF,CR,I,NC,P,W,instructor_id,instructor_name_normalized
"Arnold, Bob",,,,,,COMM,1311,006,6,7,5,,2,1,,,,,,,,,,,,,1,bxa161430,bob arnold
"Juarez, Veronica",,,,,,COMM,1311,007,6,7,4,2,1,,1,1,1,,,,1,,,,,,0,vxj161430,veronica juarez
"Saenz, Michael A",,,,,,COMM,1311,008,11,10,1,1,1,,,,,,,,,,,,,,0,mas130030,michael saenz
"Stewart, Derek A",,,,,,COMM,1311,009,3,8,7,1,1,2,1,1,,,,,,,,,,,0,das141230,derek stewart
"Hanson, Jocyln Y",,,,,,COMM,1311,010,15,2,,1,,2,1,,,1,,,1,,,,,,1,jyh140230,jocyln hanson
"Baynham, Karen M",,,,,,COMM,1311,011,7,9,4,4,,,,,,,,,,,,,,,0,contemp,karen baynham
"Hanson, Jocyln Y",,,,,,COMM,1311,012,17,4,1,,1,,,,,,,,,,,,,,2,jyh140230,jocyln hanson
"Templeton, Allison A",,,,,,COMM,1311,013,1,11,3,,3,2,,1,2,,,,,,,,,,1,aam141730,allison templeton
"Warren, Jason L",,,,,,COMM,1311,501,6,4,3,2,2,,2,1,,,,,,,,,,,2,jxw174630,jason warren
"Williams, Alecia N",,,,,,COMM,1311,502,7,5,1,4,2,2,,,2,1,,,,,,,,,0,axw124630,alecia williams
"Baynham, Karen M",,,,,,COMM,1311,0W1,3,2,6,3,,1,1,,,,,,2,,,,,,0,contemp,karen baynham
"Templeton, Allison A",,,,,,COMM,1311,0W2,5,4,4,3,,4,1,,,,,,,,,,,,0,aam141730,allison templeton
"Templeton, Allison A",,,,,,COMM,1311,0W3,2,5,1,1,3,2,1,,,,,1,1,,,,,,0,aam141730,allison templeton
"Tanner, Lari J",,,,,,COMM,1311,0W4,14,4,5,,1,,,,,,,,,,,,,,0,ljt130130,lari tanner
"Honea, Emily",,,,,,COMM,1311,0W5,5,7,4,2,2,1,1,,,,,,,,,,,,1,exh150830,emily honea
"Templeton, Allison A",,,,,,COMM,1311,014,2,7,2,1,5,1,1,2,,1,,,2,,,,,,0,aam141730,allison templeton
"Stewart, Derek A",,,,,,COMM,1311,015,9,3,4,3,1,3,1,,,,,,,,,,,,0,das141230,derek stewart
"Juarez, Veronica",,,,,,COMM,1311,016,6,8,5,,1,,1,,,,,,,,,,,,2,vxj161430,veronica juarez
"Tanner, Lari J",,,,,,COMM,1311,017,18,2,2,1,,,,,,,,,,,,,,,1,ljt130130,lari tanner
"Vazzi, Lisa",,,,,,COMM,1311,018,16,3,2,1,,,,,1,,,,,,,,,,1,lxv160630,lisa vazzi
"Ryan, Christopher J",,,,,,HUSL,7383,501,,5,2,1,,,,,,,,,,,,,,,0,cxr088000,christopher ryan
"Shi, Carle",,,,,,ARTS,3341,001,,14,,,3,,,1,,,,,,,,,,,0,cxs174230,carle shi
"Goode, Dianne H","Toombs, Kenady M",,,,,AHST,1304,002,23,21,6,6,8,3,6,5,3,2,,3,2,,,,,,2,dgoode,dianne goode
"Goode, Dianne H",,,,,,AP,3340,001,,7,4,1,1,,,2,,1,2,,,,,,,,0,dgoode,dianne goode
"Waligore, Marilyn A",,,,,,ARTS,3377,001,,8,4,3,2,,,,,,,,1,,,,,,0,waligore,marilyn waligore
"Loving, Emily",,,,,,ARTS,3379,501,,13,6,,,,,,,,,,,,,,,,0,exl097120,emily loving
"Zisman, Noah I",,,,,,CRWT,4354,501,3,1,,,3,2,,,1,,,,4,,,,,,1,nxz110630,noah zisman
"Saba, Monica",,,,,,DANC,1310,0H1,9,15,6,,1,,,,,,,,,,,,,,0,msaba,monica saba
"Reynolds, Clay",,,,,,HUAS,6354,001,,4,3,1,,,,,,,,,1,,,,,,0,clayr,clay reynolds
"Martinez, Manuel L",,,,,,HUAS,6381,501,,7,,,,,,,,,,,,,,,,,0,mlm160630,manuel martinez
"Rodriguez, Robert X",,,,,,HUAS,6399,501,,2,1,2,1,,,,,,,,,,,,,,0,rxr014610,robert rodriguez
"Bambach, Charles",,,,,,HUHI,6395,001,,9,3,4,,,,,,,,,,,,,,,0,cbambach,charles bambach
"Honea, Emily",,,,,,COMM,1311,0W6,7,4,6,1,,1,,1,1,,,,,,,,,,0,exh150830,emily honea
"Gonzalez, Cristina M",,,,,,SPAN,2341,001,3,5,2,2,,,1,,,,,,,,1,,,,0,cxg042000,cristina gonzalez
"Anjum, Zafar",,,,,,HUMA,3351,001,,29,,,1,,,,,,,,,,,,,,0,zxa110730,zafar anjum
"Wiesepape, Betty H",,,,,,CRWT,3307,001,,5,2,4,2,,,,,,,,,,,,,,0,bet,
