Subject,Catalog Number,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W Total,CR,I,NC,P,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized
ECON,3311,002,,4,,,,3,,3,,1,1,,,0,,,,,"Dumas, Lloyd","Cooper, Glen",,,,,ljdumas,lloyd dumas
BMEN,1208,105,8,1,,,,,1,,1,,,1,,0,,,,,"Ardestani Khoubrouy, Soudeh","Ravichandran, Arul Vigneswar",,,,,sxa074200,soudeh ardestani khoubrouy
MECH,4382,010,,1,4,2,2,,1,2,,,,,,0,,,,,"Hart, Robert A","Gravell, Jamie D","Upasham, Sayali S",,,,rxh124630,robert hart
CRIM,6315,001,,7,3,2,,,,,,,,,,0,,,,,"Jacobs, Bruce A",,,,,,baj034000,bruce jacobs
FIN,6360,501,,4,3,,2,3,,,,,,,,0,,,,,"Kaur, Dupinderjeet",,,,,,dxk110730,dupinderjeet kaur
OPRE,6304,001,,4,7,,1,,,,,,,,,0,,,,,"Simsek, Ahmet S",,,,,,axs158032,ahmet simsek
IMS,6371,PW1,,11,,,1,,,,,,,,,0,,,,,"Szot, James",,,,,,,james szot
CHEM,1111,108,7,4,1,,,,,,,,,,,0,,,,,"Hashami, Zohreh","Pope, Mitchell A",,,,,zxh088000,zohreh hashami
ED,4372,5H2,2,1,6,2,,,,,,,,,1,0,,,,,"Christensen, Rhonda",,,,,,rxc180023,rhonda christensen
EEDG,6301,001,,1,5,1,3,2,,,,,,,,0,,,,,"Gulur, Nagendra","Si, Qilin",,,,,,nagendra gulur
REAL,6323,501,,2,1,3,4,1,,,,,,,1,0,,,,,"Crumpecker, Brad",,,,,,bxc122130,brad crumpecker
BMEN,3150,107,3,,1,4,,1,1,1,1,,,,,0,,,,,"Pacheco, Joe","Sanchez, Camilo A","Raut, Saurabh Vikas",,,,jxp142030,joe pacheco
FIN,4334,001,4,1,,,1,1,,,,1,1,,3,0,,,,,"Kaplan, Larry S",,,,,,lsk140130,larry kaplan
CE,3111,104,2,6,2,1,,,,1,,,,,,0,,,,,"Lee, Hoi","Chen, Chen",,,,,hxl054000,hoi lee
EEPE,7V91,001,,9,2,1,,,,,,,,,,0,,,,,"Akin, Bilal","Pu, Shi",,,,,bxa123330,bilal akin
MUSI,3122,001,2,10,,,,,,,,,,,,0,,,,,"Salisbury, Linda J",,,,,,ljs130230,linda salisbury
ECON,6306,501,,10,2,,,,,,,,,,,0,,,,,"O'Brien, Daniel M","Choi, Soohyun",,,,,obri,daniel obrien
MSEN,5360,001,,2,1,2,4,3,,,,,,,,0,,,,,"Walker, Amy V",,,,,,axw092000,amy walker
AUD,7321,001,,7,4,1,,,,,,,,,,0,,,,,"Lobarinas, Edward",,,,,,exl152130,edward lobarinas
ED,4345,001,6,6,,,,,,,,,,,,0,,,,,"Haun, Julia T",,,,,,jlb018300,julia haun
ATCM,4397,004,5,6,,,1,,,,,,,,,0,,,,,"Fitzgerald, Harold E",,,,,,hxf170830,harold fitzgerald
MUSI,4186,001,6,4,1,,,,,,,1,,,,0,,,,,"Durbin, Kelly",,,,,,kpdurbin,kelly durbin
AMS,4305,501,,2,2,,2,1,,2,,,,,3,0,,,,,"Cotton, Scott C",,,,,,sxc024200,scott cotton
BMEN,3150,103,3,3,,2,,,1,1,1,,,1,,0,,,,,"Ali, Tariq M","Farmer, Sophie E",,,,,tma051000,tariq ali
IMS,6370,PW1,,11,,,1,,,,,,,,,0,,,,,"Szot, James",,,,,,,james szot
EE,3111,105,2,1,2,3,2,,1,,,1,,,,0,,,,,"Lee, Hoi","Cheng, Qi",,,,,hxl054000,hoi lee
FIN,4332,501,,3,2,3,2,2,,,,,,,,0,,,,,"Richardson, Debra L",,,,,,dlr150330,debra richardson
AUD,6311,001,,7,4,,,,1,,,,,,,0,,,,,"Roeser, Ross J","Clark, Jackie L",,,,,roeser,ross roeser
CHIN,1311,002,1,4,2,3,1,1,,,,,,,,0,,,,,"Shi, Shuai",,,,,,sxs180130,shuai shi
EE,3111,104,3,5,1,1,1,,1,,,,,,,0,,,,,"Lee, Hoi","Chen, Chen",,,,,hxl054000,hoi lee
PHYS,2126,603,7,4,,,,1,,,,,,,,0,,,,,"Macalevey, Paul J","Frazier, Gary A",,,,,paulmac,paul macalevey
BMEN,6372,001,,7,5,,,,,,,,,,,0,,,,,"Kapoor, Bhanu",,,,,,bxk101000,bhanu kapoor
GEOS,4322,001,1,1,2,1,3,1,,3,,,,,,0,,,,,"Manton, William I",,,,,,manton,william manton
MATH,2414,342,,,,,,,,,,,,,,0,,,,,"Choi, Sl-ghi",,,,,,sxc173731,sl ghi choi
MATH,2414,341,,,,,,,,,,,,,,0,,,,,"Westbury, Bruce W",,,,,,,bruce westbury
MATH,2414,349,,,,,,,,,,,,,,0,,,,,"Aman, Kelly",,,,,,kxa143530,kelly aman
HIST,3328,001,,2,1,,1,1,,1,,,1,,2,0,,,,,"Brown, Matthew",,,,,,mxb091000,matthew brown
MATH,5302,001,,4,,1,,1,1,,,,,,3,3,,,,,"Zweck, John W",,,,,,jwz120030,john zweck
CHEM,3361,002,1,2,,1,,2,,3,,,,,1,3,,,,,"Taylor, Stephanie M","Dey, Sanchareeka","Krishnamohan, Aishwarya","Soladogun, Adedamola S","Marco, Belle","Villones, Rhiza Lyne",smt031000,stephanie taylor
BMEN,1208,103,1,4,,2,,3,,,,,,,1,2,,,,,"Levene, Stephen","Jayanand, Kishan","Dolui, Swapnil",,,,sdlevene,stephen levene
PPPE,6354,501,,6,5,1,,,,,,,,,,1,,,,,"Leaf, Murray J",,,,,,mjleaf,murray leaf
CS,6350,MS1,,12,,,,,,,,,,,,1,,,,,"Khan, Latifur R",,,,,,lkhan,latifur khan
ACCT,6331,0W1,,3,,1,4,,,4,,,,,,1,,,,,"Cready, William M","Gencer, Nur Pinar",,,,,wmc041000,william cready
ARTS,3311,001,2,1,1,,3,,2,2,,,,,1,1,,,,,"Copeland, Colette",,,,,,cxc132230,colette copeland
CE,3101,106,2,4,2,1,2,,,,,,,,1,1,,,,,"Heins, Matthew S","Nahar, Lubaba M",,,,,msh130130,matthew heins
PHIL,3328,001,3,,1,,4,1,,2,1,,,,,1,,,,,"Brown, Matthew",,,,,,mxb091000,matthew brown
HUSL,6308,501,,5,2,2,1,,2,,,,,,,0,,1,,,"Prieto, Rene",,,,,,rxp113230,rene prieto
MECH,3120,104,8,2,2,,,,,,,,,,,1,,,,,"Hassanipour, Fatemeh","Azarnoosh, Jamasp",,,,,fxh091000,fatemeh hassanipour
CS,6301,MS1,,5,2,3,1,,,,,,,,1,1,,,,,"Nguyen, Nhut",,,,,,nhutnn,nhut nguyen
