Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,CR,I,NC,W,P,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized
PHYS,1102,107,7,15,,,,,,,,,,,1,,,,,,"Mac Alevey, Paul J","Saleh, Lamya","Shamma, Abeda Sultana",,,,paulmac,paul macalevey
PHYS,1102,108,8,16,,,,,,,,,,,,,,,,,"Mac Alevey, Paul J","Saleh, Lamya","Shamma, Abeda Sultana",,,,paulmac,paul macalevey
PHYS,1102,601,8,14,1,,,,,,,,,,,,,,,,"Mac Alevey, Paul J","Saleh, Lamya","Obenza, Alexander M",,,,paulmac,paul macalevey
PHYS,1102,602,4,13,1,,,,,,,,,,,,,,,,"Mac Alevey, Paul J","Saleh, Lamya","Obenza, Alexander M",,,,paulmac,paul macalevey
PHYS,1301,001,17,17,16,13,12,11,8,8,8,3,3,3,4,,1,,4,,"Penev, Kaloyan M","Jafarzadeh, Seyed Javad",,,,,lxc134330,lunjin chen
PHYS,1301,501,92,10,3,,,,,,,,,,,,,,,,"Goncalves Pinheiro, Alexandre","Smith, Sean S",,,,,kxp174430,kaloyan penev
PHYS,1302,001,11,16,21,8,18,14,4,20,,,,1,1,,,,2,,"Zhu, Qingyu","Lin, Manshuo",,,,,mxl101000,mark lee
PHYS,1302,002,52,26,1,10,9,2,5,8,1,1,,,2,,,,,,"Kadala, Roger H","Seifi, Melodee O",,,,,kxs147030,kuei sun
PHYS,2125,101,11,17,,,,,,,,,,1,1,,,,,,"Khan, Amena L","Kadala, Roger H","Crawford, John A",,,,kxs147030,kuei sun
PHYS,2125,102,8,15,4,,,2,,,,,,,,,,,,,"Khan, Amena L","Kadala, Roger H","Kajla, Rohit",,,,kxs147030,kuei sun
PHYS,2125,103,1,28,,1,,,,,,,,,,,,,,,"Khan, Amena L","Kadala, Roger H","Wu, Yuxiang",,,,kxs147030,kuei sun
PHYS,2125,104,6,19,1,,,1,,,,,,,2,,,,,,"Khan, Amena L","Kadala, Roger H","Ghosh, Bishal K",,,,kxs147030,kuei sun
PHYS,2125,105,,22,2,4,1,,1,,,,,,,,,,,,"Khan, Amena L","Kadala, Roger H","Nadella, Sahithi",,,,kxs147030,kuei sun
PHYS,2125,106,3,22,3,,,,,,,,,,1,,,,,,"Khan, Amena L","Kadala, Roger H","Awoyinka, Tunde D",,,,kxs147030,kuei sun
PHYS,2125,107,9,13,2,4,,,,,,,1,,,,,,,,"Khan, Amena L","Kadala, Roger H","Kapte, Isha Sunil",,,,kxs147030,kuei sun
PHYS,2125,108,5,16,2,2,1,1,,,,,1,1,,,,,,,"Khan, Amena L","Kadala, Roger H","Ghosh, Bishal K",,,,kxs147030,kuei sun
PHYS,2125,109,4,19,3,,,,,2,,,,,2,,,,,,"Khan, Amena L","Kadala, Roger H","Magadi Shivalingaiah, Meghraj",,,,kxs147030,kuei sun
PHYS,2125,110,3,20,2,1,,,,,,,2,,1,,,,,,"Khan, Amena L","Kadala, Roger H","Magadi Shivalingaiah, Meghraj",,,,kxs147030,kuei sun
PHYS,2125,111,4,22,1,,,1,,,,,,,2,,,,,,"Khan, Amena L","Kadala, Roger H","Yadav, Priti",,,,kxs147030,kuei sun
PHYS,2125,112,7,14,1,1,2,1,1,1,,,,,,,,,1,,"Khan, Amena L","Kadala, Roger H","Awoyinka, Tunde D",,,,kxs147030,kuei sun
PHYS,2125,113,9,16,2,,,,,1,,,,,,,,,,,"Khan, Amena L","Kadala, Roger H","Crawford, John A",,,,kxs147030,kuei sun
PHYS,2125,114,5,20,1,2,,1,,,,,,,,,,,,,"Khan, Amena L","Kadala, Roger H","Zhao, Kehui",,,,kxs147030,kuei sun
PHYS,2125,115,6,16,2,1,,,,2,,,,,,,,,,,"Khan, Amena L","Kadala, Roger H","Kajla, Rohit",,,,kxs147030,kuei sun
PHYS,2125,116,6,20,1,1,1,,,1,,,,,,,,,,,"Khan, Amena L","Kadala, Roger H","Jafarzadeh, Seyed Javad",,,,kxs147030,kuei sun
PHYS,2125,117,3,20,1,1,1,,1,,1,,,,,,,,,,"Khan, Amena L","Kadala, Roger H","Yadav, Priti",,,,kxs147030,kuei sun
PHYS,2125,601,11,12,1,3,1,,,,,,,1,,,,,,,"Khan, Amena L","Kadala, Roger H","Kapte, Isha Sunil",,,,kxs147030,kuei sun
PHYS,2125,602,2,20,1,2,2,1,1,,,,,,,,,,,,"Khan, Amena L","Kadala, Roger H","Wu, Yuxiang",,,,kxs147030,kuei sun
PHYS,2126,101,8,15,4,1,1,,,,,,,,1,,,,,,"Saleh, Lamya","Mac Alevey, Paul J","Modumudi, Sai Madhav",,,,paulmac,paul macalevey
PHYS,2126,102,12,16,,,,,,,,,,,,,,,,,"Saleh, Lamya","Mac Alevey, Paul J","Aker, Adam",,,,paulmac,paul macalevey
PHYS,2126,103,20,6,,1,,,,,,,,,,,,,1,,"Saleh, Lamya","Mac Alevey, Paul J","Pineda, Crosby",,,,paulmac,paul macalevey
PHYS,2126,104,14,8,2,1,,,1,,,,,,,,,,1,,"Saleh, Lamya","Mac Alevey, Paul J","Ruwali, Shisir",,,,paulmac,paul macalevey
PHYS,2126,105,14,12,2,,,,,,,,,1,,,,,,,"Saleh, Lamya","Mac Alevey, Paul J","Shrestha, Samyak",,,,paulmac,paul macalevey
PHYS,2126,106,1,16,6,3,2,1,,,,,,,,,,,,,"Saleh, Lamya","Mac Alevey, Paul J","Seifi, Melodee O",,,,paulmac,paul macalevey
PHYS,2126,107,,7,14,4,1,,,,,,,,,,,,1,,"Saleh, Lamya","Mac Alevey, Paul J",,,,,paulmac,paul macalevey
PHYS,2126,108,7,16,3,1,,1,,,,,,,1,,,,,,"Saleh, Lamya","Mac Alevey, Paul J","Neubauer, Brennan B",,,,paulmac,paul macalevey
