Subject,Catalog Number,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized
ACCT,6330,0W1,,4,,,6,,,2,,,,,,4,"Cready, William M","Gencer, Nur Pinar",,,,,wmc041000,william cready
ACCT,6334,0W1,,7,,,7,,,1,,,,,,1,"Linsteadt, Chris C",,,,,,ccl019000,chris linsteadt
FIN,6301,5U1,,6,3,3,1,1,1,1,,,,,,0,"Baranchuk, Nina",,,,,,nxb043000,nina baranchuk
MIS,6346,5U1,,12,4,,,,,,,,,,,0,"Perez, Jerry","Tang, Ping",,,,,jxp180019,jerry perez
MKT,3330,0U1,6,,3,1,3,1,,1,,,1,,,0,"Amirpour, Semiramis",,,,,,sxa130731,semiramis amirpour
BIOL,3456,1U1,,,3,3,2,2,1,,,1,1,,2,1,"Yu, Wen H",,,,,,why061000,wen yu
COMM,3352,0H1,6,5,2,1,,,,,1,,,1,1,0,"King, Carie S",,,,,,cxl085200,carie king
NSC,4363,0U1,,4,,,7,,,3,,,1,,1,1,"Raboune, Siham",,,,,,sxr180071,siham raboune
PSY,3393,5U1,,14,,,2,,,,,,,,1,0,"Meltzer, Mitchell A","Zhao, Yuguang",,,,,mam089100,mitchell meltzer
BMEN,3402,0U1,2,2,2,1,2,2,1,,3,,1,,1,0,"Ardestani Khoubrouy, Soudeh",,,,,,sxa074200,soudeh ardestani khoubrouy
CS,4341,0U1,,6,1,1,2,1,1,1,2,,2,,,0,"Nguyen, Nhut","Adebiyi, Abdulmateen A",,,,,nhutnn,nhut nguyen
CS,4375,0U2,3,4,5,3,1,,,1,,,,,,0,"Nagar, Anurag","Lin, Yu",,,,,axn112530,anurag nagar
ECS,3390,053,,9,5,2,1,,,,,,,,,0,"Glauser, Janece B",,,,,,jbg130030,janece glauser
ECON,2302,0U1,1,5,2,1,1,1,2,,1,,1,,,2,"Hou, Aoyu",,,,,,axh153230,aoyu hou
