Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,CR,I,NC,W,P,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized
CS,1337,0U1,1,1,4,3,1,3,2,2,,,,,1,,,,,,"Gupta, Neeraj K","Ou, Yuzhe",,,,,cshields,charles shields
CS,1337,5W1,1,4,7,5,5,2,2,2,1,1,,,3,,,,1,,"Dollinger, Scott M","Bansal, Rishita",,,,,smd013000,scott dollinger
CS,2305,0U1,3,4,3,4,7,2,1,1,,,,,2,,,,,,"Chitturi, Bhadrachalam","Xu, Ruoyu",,,,,rxf090020,ranran feng
CS,2336,5U1,8,23,2,2,9,,1,1,,,,,1,,,,,,"Khan, Kamran Z","Zhang, Yue","Mao, Ruiyu",,,,kkhan,ziaullah khan
CS,2340,0U1,5,4,5,2,3,5,1,2,2,,1,,,,,,,,"Karami, Gity","Golivand Darvishvand, Fateme",,,,,kjm160430,karen mazidi
CS,3305,0W1,,1,6,3,6,3,1,6,1,,,,1,,,,,,"Ntafos, Simeon C","Aggarwal, Alakh",,,,,mns086000,meghana satpute
CS,3305,5U1,,4,,4,1,2,1,,,,,,,,,,1,,"Chitturi, Bhadrachalam",Jishnu J,,,,,chalam,chitturi bhadrachalam
CS,3341,0U1,,3,,,2,2,5,4,1,1,1,2,2,,,,,,"Guo, Huizhen","Zhao, Kun","Kim, Jimi",,,,tgw100020,tristan whalen
CS,3345,0U1,4,6,2,3,3,3,3,2,1,1,,,3,,,,,,"Zhao, Yi","Tenali, Pranuthi",,,,,ozbirn,greg ozbirn
CS,3354,0U1,,1,1,4,5,10,2,4,4,1,3,,,,,,,,"Paulk, Mark C","Rathnasuriya, Ravishka S","Chen, Zizhao",,,,mxn143230,mehra borazjany
CS,3377,0U1,8,12,5,3,4,2,1,1,,1,,,,,,,1,,"Feng, Ranran","Sipai, Sushila","Dasgupta, Sopam",,,,gxk180009,gity karami
